A,K,L,M,N,O,P,B,C,D,E,F,G,H,I,J,Q,R,S,T
corrected time (hrs),F3 corr,F5 corr,F7 corr,F9 corr,F11 corr,F13 corr,D3 corr,d5 corr,d7 corr,d9 corr,d11 corr,d13 corr,,,,,,,
-0.51548,29.26295,25.38444,21.70873,19.10841,18.34613,18.34502,-10.17477,-8.1788,-7.17974,-6.3547,-5.44861,-5.07295,,,,,,,
-0.51486,28.91622,25.41674,21.55548,19.13567,18.42336,18.31838,-10.18755,-8.16592,-7.12649,-6.36141,-5.41949,-5.08875,,,,,,,
-0.51423,29.31568,25.52273,21.61433,19.10067,18.29545,18.26391,-10.06144,-8.159,-7.13168,-6.37765,-5.38078,-5.16348,,,,,,,
-0.51362,28.95168,25.58347,21.61771,19.05051,18.33863,18.22403,-10.16044,-8.18608,-7.19217,-6.3701,-5.40102,-5.10041,,,,,,,
-0.51299,28.97928,25.46319,21.55167,19.08131,18.25541,18.19489,-10.11256,-8.22744,-7.0875,-6.32868,-5.43869,-5.06599,,,,,,,
-0.51237,29.12994,25.3128,21.57033,19.11474,18.26989,18.01635,-10.10394,-8.1667,-7.10289,-6.33014,-5.42067,-5.061,,,,,,,
-0.51173,29.0156,25.53854,21.52587,19.08489,18.40919,17.97234,-10.14865,-8.15792,-7.16548,-6.3474,-5.41866,-5.10704,,,,,,,
-0.51111,29.10256,25.7117,21.46692,19.06914,18.33314,18.05554,-10.14636,-8.21727,-7.13387,-6.37406,-5.42277,-5.0962,,,,,,,
-0.5105,29.00945,25.86897,21.59887,19.15656,18.23058,18.22604,-10.13052,-8.29815,-7.14238,-6.33556,-5.43334,-5.10483,,,,,,,
-0.50987,29.10785,25.52503,21.45106,19.04689,18.47368,18.02854,-10.13924,-8.18346,-7.13295,-6.35632,-5.39174,-5.14968,,,,,,,
-0.50926,28.93813,25.53213,21.69884,19.17704,18.36984,18.12326,-10.00885,-8.17905,-7.10935,-6.35326,-5.40369,-5.06365,,,,,,,
-0.50864,29.0477,25.5197,21.67832,19.10129,18.27967,18.143,-10.08311,-8.2465,-7.12021,-6.35358,-5.45979,-5.13601,,,,,,,
-0.50801,29.18492,25.81739,21.60194,19.05722,18.42349,18.17143,-10.08176,-8.12207,-7.1103,-6.36726,-5.38211,-5.14554,,,,,,,
-0.50738,28.99649,25.75074,21.73453,19.05767,18.28059,18.2516,-10.15917,-8.07727,-7.05779,-6.36037,-5.37965,-5.16188,,,,,,,
-0.50674,28.98069,25.35782,21.58368,19.16455,18.17926,18.01969,-10.17184,-8.17785,-7.23246,-6.37422,-5.44537,-5.14035,,,,,,,
-0.50617,29.16872,25.53004,21.52831,19.08556,18.27932,18.27555,-10.11048,-8.15653,-7.15275,-6.353,-5.41577,-5.04132,,,,,,,
-0.50559,29.02299,25.6588,21.55137,19.10483,18.42049,17.95282,-10.13123,-8.23074,-7.12949,-6.37316,-5.38177,-5.05958,,,,,,,
-0.50501,29.04774,25.44804,21.62012,19.04432,18.35763,18.04515,-10.07704,-8.23749,-7.12278,-6.37195,-5.41474,-5.07782,,,,,,,
-0.50442,29.02745,25.41763,21.48733,19.04884,18.40901,17.79751,-10.12348,-8.2353,-7.14738,-6.3524,-5.44897,-5.08767,,,,,,,
-0.50384,28.97015,25.65844,21.52529,19.12146,18.39123,18.27116,-10.13298,-8.10566,-7.18902,-6.35988,-5.42866,-5.09541,,,,,,,
-0.50326,29.10118,25.58825,21.55653,19.03135,18.39409,18.04102,-10.19836,-8.21738,-7.09291,-6.37385,-5.38611,-5.03289,,,,,,,
-0.50268,28.88855,25.78032,21.78674,19.04187,18.0776,17.98406,-10.20185,-8.14721,-7.02308,-6.39176,-5.38381,-5.1222,,,,,,,
-0.5021,29.12539,25.52766,21.54073,19.10148,18.39167,18.00486,-10.11715,-8.26535,-7.17893,-6.38621,-5.38654,-5.05327,,,,,,,
-0.50153,29.1201,25.81679,21.66743,19.01974,18.3493,17.96154,-10.17536,-8.20165,-7.13975,-6.35251,-5.34414,-5.16807,,,,,,,
-0.50094,29.02011,25.5086,21.58843,18.99312,18.40749,17.98781,-10.1907,-8.18143,-7.10984,-6.38193,-5.45219,-5.1631,,,,,,,
-0.50037,28.97946,25.58888,21.44368,19.0265,18.31111,17.95023,-10.13108,-8.25158,-7.12928,-6.37533,-5.35969,-5.2365,,,,,,,
